"","Syt1","Elavl4","Ret","Snap25","normed"
"Glia_ASO_4789",262,60,13,49,FALSE
"Glia_ASO_4790",31,4,2,1,FALSE
"Glia_ASO_4801",60,11,1,11,FALSE
"Glia_ASO_4802",19,4,0,0,FALSE
"Glia_WT_2273",83,16,5,21,FALSE
"Glia_WT_2274",91,14,7,21,FALSE
"Glia_WT_4798",34,13,2,16,FALSE
"Glia_WT_4799",88,14,2,11,FALSE
"Glia_WT_4800",56,9,1,6,FALSE
"PEMN_ASO_4789",5832,1409,200,1465,FALSE
"PEMN_ASO_4790",286,45,10,70,FALSE
"PEMN_ASO_4801",1674,306,43,240,FALSE
"PEMN_ASO_4802",3472,884,127,901,FALSE
"PEMN_WT_2273",1030,170,61,336,FALSE
"PEMN_WT_2274",1425,251,133,418,FALSE
"PEMN_WT_4798",3170,699,159,942,FALSE
"PEMN_WT_4799",593,133,20,130,FALSE
"PEMN_WT_4800",491,96,22,82,FALSE
"PIMN_ASO_4789",1254,538,117,380,FALSE
"PIMN_ASO_4790",339,84,39,98,FALSE
"PIMN_ASO_4801",113,36,4,20,FALSE
"PIMN_ASO_4802",699,346,100,248,FALSE
"PIMN_WT_2273",1164,265,139,339,FALSE
"PIMN_WT_2274",1038,290,160,346,FALSE
"PIMN_WT_4798",1485,696,158,514,FALSE
"PIMN_WT_4799",20,5,0,7,FALSE
"PIMN_WT_4800",70,29,7,16,FALSE
"PIN_ASO_4789",7046,1458,230,1940,FALSE
"PIN_ASO_4790",243,67,22,143,FALSE
"PIN_ASO_4801",1029,196,28,220,FALSE
"PIN_ASO_4802",3405,592,108,826,FALSE
"PIN_WT_2273",968,242,83,470,FALSE
"PIN_WT_2274",1194,195,71,394,FALSE
"PIN_WT_4798",3085,672,170,856,FALSE
"PIN_WT_4799",887,184,34,138,FALSE
"PIN_WT_4800",178,49,6,58,FALSE
"PSN_ASO_4789",60,15,3,11,FALSE
"PSN_ASO_4790",3,1,0,7,FALSE
"PSN_ASO_4801",26,23,10,20,FALSE
"PSN_ASO_4802",1,2,1,0,FALSE
"PSN_WT_2273",558,100,78,129,FALSE
"PSN_WT_2274",308,45,28,77,FALSE
"PSN_WT_4798",55,6,9,16,FALSE
"PSN_WT_4799",7,2,0,1,FALSE
"Glia_ASO_47891",92,21,5,17,TRUE
"Glia_ASO_47901",124,16,8,4,TRUE
"Glia_ASO_48011",97,18,2,18,TRUE
"Glia_ASO_48021",14,3,0,0,TRUE
"Glia_WT_22731",93,18,6,23,TRUE
"Glia_WT_22741",102,16,8,24,TRUE
"Glia_WT_47981",22,8,1,10,TRUE
"Glia_WT_47991",260,41,6,32,TRUE
"Glia_WT_48001",252,41,5,27,TRUE
"PEMN_ASO_47891",2043,494,70,513,TRUE
"PEMN_ASO_47901",1144,180,40,280,TRUE
"PEMN_ASO_48011",2702,494,69,387,TRUE
"PEMN_ASO_48021",2544,648,93,660,TRUE
"PEMN_WT_22731",1152,190,68,376,TRUE
"PEMN_WT_22741",1603,282,150,470,TRUE
"PEMN_WT_47981",2022,446,101,601,TRUE
"PEMN_WT_47991",1751,393,59,384,TRUE
"PEMN_WT_48001",2211,432,99,369,TRUE
"PIMN_ASO_47891",439,189,41,133,TRUE
"PIMN_ASO_47901",1356,336,156,392,TRUE
"PIMN_ASO_48011",182,58,6,32,TRUE
"PIMN_ASO_48021",512,254,73,182,TRUE
"PIMN_WT_22731",1301,296,155,379,TRUE
"PIMN_WT_22741",1168,326,180,389,TRUE
"PIMN_WT_47981",947,444,101,328,TRUE
"PIMN_WT_47991",59,15,0,21,TRUE
"PIMN_WT_48001",315,131,32,72,TRUE
"PIN_ASO_47891",2469,511,81,680,TRUE
"PIN_ASO_47901",972,268,88,572,TRUE
"PIN_ASO_48011",1661,316,45,355,TRUE
"PIN_ASO_48021",2495,434,79,605,TRUE
"PIN_WT_22731",1082,271,93,526,TRUE
"PIN_WT_22741",1343,219,80,443,TRUE
"PIN_WT_47981",1968,429,108,546,TRUE
"PIN_WT_47991",2620,543,100,408,TRUE
"PIN_WT_48001",802,221,27,261,TRUE
"PSN_ASO_47891",21,5,1,4,TRUE
"PSN_ASO_47901",12,4,0,28,TRUE
"PSN_ASO_48011",42,37,16,32,TRUE
"PSN_ASO_48021",1,1,1,0,TRUE
"PSN_WT_22731",624,112,87,144,TRUE
"PSN_WT_22741",347,51,32,87,TRUE
"PSN_WT_47981",35,4,6,10,TRUE
"PSN_WT_47991",21,6,0,3,TRUE
